id,"file","tag","English","Français"
7,"account/apikeys","available","You have created :CREATED out of :TOTAL API keys."
2,"account/apikeys","create","Create new","créer nouveau"
5,"account/apikeys","created","Created"."créé"
6,"account/apikeys","delete","Are you sure you want to permanently remove this API key?","Êtes-vous sûr de vouloir supprimer définitivement cette clé API"
4,"account/apikeys","key","Key","key"
3,"account/apikeys","name","Name","nom"
1,"account/apikeys","title","API Keys"
1350,"account/calendar","agent","Agent","agent"
1337,"account/calendar","agent.all","All agents",tous les agents"
1334,"account/calendar","button.new","New event","nouveau évènement"
1627,"account/calendar","button.schedule","Schedule visit","visite"
1345,"account/calendar","comments","Comments","commentaires"
1352,"account/calendar","customer","Lead","lead"
1357,"account/calendar","delete","The event was successfully deleted.","l'évenement a été supimé avec succès"
1358,"account/calendar","delete.warning","Are you sure you want to delete this event? This action cannot be undone.","voulez-vous vraiment supprimer cet événement? Cette action ne peut pas être annulée"
1362,"account/calendar","email.title.cancel","CancelaciÃ³n evento: :title","annuler l'évenement:titre"
1360,"account/calendar","email.title.create","InvitaciÃ³n evento: :title","inviter événement:titre"
1361,"account/calendar","email.title.update","ActualizaciÃ³n evento: :title","mise à jour: titre"
1364,"account/calendar","email.when","CuÃ¡ndo","quand"
1365,"account/calendar","email.where","DÃ³nde","où"
1363,"account/calendar","email.who","Organizador","Organisateur"
1347,"account/calendar","end","Finish","finir"
1348,"account/calendar","end.error","The event ends before its beginning"
1333,"account/calendar","h1","Calendar","calendrier"
1355,"account/calendar","location","Location","emplacement"
1356,"account/calendar","location.property","Use property as location","utiliser la propiété comme emprecement"
1359,"account/calendar","moreinfo","View details","voir les détails"
1353,"account/calendar","notify","Notify by email","notifier par mail"
1354,"account/calendar","notify.warning","<p>To enabled notifications, please set a custom email service on your site configuration.</p>","aux notifications activées, s'il vous plaît définir un email personnalisé sur la configuration de votre site.</p>"
1351,"account/calendar","property","Property"
1339,"account/calendar","reference.title","Appointments","rendez-vous"
1341,"account/calendar","reference.type.catch","Catch","capture"
1342,"account/calendar","reference.type.interview","Interview","entretien"
1614,"account/calendar","reference.type.meeting","Meeting","réunion"
1343,"account/calendar","reference.type.other","Other","autre"
1340,"account/calendar","reference.type.visit","Visit","visite"
1729,"account/calendar","scheduled","Visit scheduled","visite programée"
1346,"account/calendar","start","Start",début"
1338,"account/calendar","status.all","All status","tout état"
1344,"account/calendar","title","Title","titre"
1335,"account/calendar","title.create","Create event","creer un evenement"
1628,"account/calendar","title.customer","Use as title","utiliser comme titre"
1336,"account/calendar","title.edit","Edit event","modifier l'évènement"
1349,"account/calendar","type","Type","type"
1368,"account/countries","default","Default country","pays pas féfaut"
1366,"account/countries","h1","Countries","des pays"
1367,"account/countries","limit","Limit countries to show","limiter pays à montrer"
1839,"account/customers","active","Active","actif"
1840,"account/customers","active.not","Not active","pas active"
1899,"account/customers","agent_id","Agent","agent"
1868,"account/customers","alert.bajada","Notify for property's price fall"Notifier la baisse des prix de la propiété"
1869,"account/customers","alert.venta","Notify for property's sale","Notifier la vente de la propiété"
1867,"account/customers","alerts","Alerts","Alertes"
745,"account/customers","associate.h1","Use existing lead","Utiliser existant"
1898,"account/customers","budget","Budget","Budget"
9,"account/customers","button.new","New lead","Créer lead"
17,"account/customers","create.h1","Create lead","Lead Créé"
16,"account/customers","created","Created","Créé"
1895,"account/customers","delete","Are you sure you want to remove this lead?","Êtes-vous sûr de voulour supprimer cette liste?"
1630,"account/customers","discards","Discards","Rejets"
1631,"account/customers","discards.action","Discard","Jeter"
1632,"account/customers","discards.undelete","Remove from this list","Retirer de cette liste"
1833,"account/customers","dni","DNI","Carte d'identité"
13,"account/customers","email","Email","email"
10,"account/customers","empty","No leads found","Pas trouvés"
8,"account/customers","h1","Leads"
12,"account/customers","last_name","Surname","Nom de famille"
15,"account/customers","locale","Language",Langage"
685,"account/customers","matches","Possible matches","correspondances possibles"
1629,"account/customers","matches.action","Add to properties","Ajouter aux propiétés"
1896,"account/customers","message.deleted","The lead has been successfully deleted","Le lead a été suprrimé avec succès"
20,"account/customers","message.saved","The lead has been successfully saved","Le lead a été sauvé avec succès"
11,"account/customers","name","Name","Nom"
1646,"account/customers","origin","Source","Origine"
14,"account/customers","phone","Phone","Téléphome"
1897,"account/customers","price","Price","Prix"
690,"account/customers","profile","Search profile"Profil de recherche"
691,"account/customers","profile.update","Update profile",metre à jour le profil"
684,"account/customers","properties","Properties","Propiétés"
1832,"account/customers","show.customer.comment.button","Save comment","Sauver commentaire"
1831,"account/customers","show.customer.comment.title","Comment","Commentaire"
1870,"account/customers","show.customer.general.button","Save","Enregistrer"
18,"account/customers","show.h1","Lead view","Lead vue"
19,"account/customers","show.tab.general","General","General"
688,"account/customers","show.tab.profile","Search profile","Profil de recherche"
46,"account/employees","associate.title","Associate user","Associer utilisateur"
47,"account/employees","associate.warning","<p>The user with email \":email\" is already registered under the name \":name\", but is not associated to this site.</p>								<p>Would you like to associated :name to this site?</p>","<P>  L'utilisateur avec email/":email/"est dejà enregistré spus le nom/":name/", mais n'est pas associé à ce site. </P><p> Voulez-vpus associer: nom du site?</>"
23,"account/employees","button.dissociate","Remove","Supprimer"
22,"account/employees","button.new","New employee","Nouveau employé"
33,"account/employees","create.title","New employee","Nouveu employé"
25,"account/employees","delete","Are you sure you want to remove this employee?","êtes vous sûr de vouloir supprimer cet employé?"
1633,"account/employees","delete.intro","Remember that this action cannot be undone.","N'oubliez pas que cette action ne peut pas être annulée"
1634,"account/employees","delete.reassign","You can reassign all activity to another agent:","Vous pouvez rèaffecter youte activité à un autre agent"
26,"account/employees","deleted","The employee was successfully removed","Lémployé a été retiré avec succès"
28,"account/employees","email","Email","email"
29,"account/employees","email.used","This email is already in use","cet email est dejà utilisée"
24,"account/employees","empty","No employees found","Employé pas trouvé"
21,"account/employees","h1","Employees","Employés"
757,"account/employees","leads","Leads","Leads"
31,"account/employees","locale","Language","langage"
35,"account/employees","message.associated","The employee was successfully associated to this site","L'employé a été associé avec succès à ce site"
36,"account/employees","message.dissociated","The property was successfully dissociated from this user","La propiété a été dissociée de cet itulisateur"
34,"account/employees","message.saved","The employee was successfully saved","L'employé a été souvé avec succès"
27,"account/employees","name","Name",Nom"
32,"account/employees","password","Password","Nom de passe ou password"
30,"account/employees","properties","Properties","Propiétés"
38,"account/employees","show.tab.permissions","Permissions"
39,"account/employees","show.tab.permissions.create","Can create propeties"
41,"account/employees","show.tab.permissions.delete","Can delete propeties"
1622,"account/employees","show.tab.permissions.delete_all","Can delete all properties"
1624,"account/employees","show.tab.permissions.delete_all.warning","This agent can delete all properties"
40,"account/employees","show.tab.permissions.edit","Can edit propeties"
1621,"account/employees","show.tab.permissions.edit_all","Can edit all properties"
1623,"account/employees","show.tab.permissions.edit_all.warning","This agent can edit all properties"
1289,"account/employees","show.tab.permissions.view_all","Can view all properties"
1290,"account/employees","show.tab.permissions.view_all.warning","This agent can view all properties"
42,"account/employees","show.tab.properties","Properties"
1900,"account/employees","show.tab.properties.assigned","Assigned"
45,"account/employees","show.tab.properties.dissociate","Are you sure you want to dissociate this property?"
43,"account/employees","show.tab.properties.empty","No properties asociated"
44,"account/employees","show.tab.properties.title","Property"
37,"account/employees","show.title","Edit user: :name"
698,"account/employees","tickets","Open tickets"
1730,"account/logs","none","No entries found"
1731,"account/logs","response","Service response"
1732,"account/logs","response.details","Vierw details"
1735,"account/logs","response.error","Error"
1733,"account/logs","response.processing","Processing"
1734,"account/logs","response.success","Success"
1370,"account/marketplaces","all","Export all"
1890,"account/marketplaces","configuration.fields.access_data.title","Token data"
1888,"account/marketplaces","configuration.fields.access_token","Access token"
1889,"account/marketplaces","configuration.fields.access_token_secret","Secret access token"
1258,"account/marketplaces","configuration.fields.account_id","Account ID"
1256,"account/marketplaces","configuration.fields.account.title","Account"
1278,"account/marketplaces","configuration.fields.agency_data.title","Agency data"
1281,"account/marketplaces","configuration.fields.agency_name","Agency name"
1893,"account/marketplaces","configuration.fields.agent_id","Agent ID"
1280,"account/marketplaces","configuration.fields.agent_name","Agency name"
1279,"account/marketplaces","configuration.fields.agent_name.title","Agency name"
1285,"account/marketplaces","configuration.fields.city","City"
1625,"account/marketplaces","configuration.fields.code","Customer code"
1261,"account/marketplaces","configuration.fields.contact_data","Contact data"
1259,"account/marketplaces","configuration.fields.contact_data.title","Contact data"
1282,"account/marketplaces","configuration.fields.contact_email","Contact e-mail"
1283,"account/marketplaces","configuration.fields.contact_phone","Contact phone"
1260,"account/marketplaces","configuration.fields.email","E-mail"
1902,"account/marketplaces","configuration.fields.id_agencia","Agency ID"
1591,"account/marketplaces","configuration.fields.lastname","Last name"
1904,"account/marketplaces","configuration.fields.mobile_number","Mobile number"
1379,"account/marketplaces","configuration.fields.name","Name"
1901,"account/marketplaces","configuration.fields.numero_cliente","Client number"
1645,"account/marketplaces","configuration.fields.oficina","Account ID"
1892,"account/marketplaces","configuration.fields.password","Password"
1380,"account/marketplaces","configuration.fields.phone","Phone"
1903,"account/marketplaces","configuration.fields.phone_number","Phone number"
1286,"account/marketplaces","configuration.fields.state","State"
1891,"account/marketplaces","configuration.fields.username","Username"
1284,"account/marketplaces","configuration.fields.zipcode","Zipcode"
940,"account/marketplaces","configuration.none","This platform does not require aditional configuration"
946,"account/marketplaces","configuration.owner.cif","CIF"
947,"account/marketplaces","configuration.owner.cif.error","Please enter a valid CIF"
945,"account/marketplaces","configuration.owner.email","Email"
944,"account/marketplaces","configuration.owner.fullname","Name and lastname"
943,"account/marketplaces","configuration.owner.title","Publisher information"
933,"account/marketplaces","configure","Connect"
932,"account/marketplaces","configured","Connected"
1295,"account/marketplaces","contact.email","Email"
1292,"account/marketplaces","contact.intro","<p>If you wish to continue, please confirm your contact information so we can let you know how to proceed.</p>"
1293,"account/marketplaces","contact.name","Name"
1294,"account/marketplaces","contact.phone","Phone"
1296,"account/marketplaces","contact.success","<h4>Thank you.</h4><p>We will contact you as soon as possible.</p>"
